Date,Volcano Name,ID,Type,VEI,Latitude,Longitude,Frequency
1975-12-07,Gaua,15231,Eruption,2.0,-14.27,167.5,3
1975-12-27,Kizimen,19264,Eruption,3.0,55.131,160.32,3
1976-01-01,Pinatubo,16867,Eruption,6.0,15.13,120.35,4
1976-01-01,Pinatubo,16867,Eruption,6.0,15.13,120.35,1
1976-01-02,Lewotobi,16298,Eruption,1.0,-8.542,122.775,4
1976-01-02,Lewotobi,16298,Eruption,1.0,-8.542,122.775,1
1976-01-14,Tongariro,14600,Eruption,2.0,-39.157,175.632,6
1976-01-15,Kilauea,10101,Eruption,0.0,19.421,-155.287,8
1976-01-15,Kilauea,10101,Eruption,0.0,19.421,-155.287,1
1976-01-18,Taal,16859,Eruption,2.0,14.002,120.993,5
1976-01-21,Poas,11169,Eruption,1.0,10.2,-84.23299999999999,7
1976-01-26,Slamet,15765,Eruption,1.0,-7.242000000000001,109.208,3
1976-02-11,Talang,15499,Eruption,2.0,-0.9790000000000001,100.681,3
1976-02-14,Korovin,19762,Eruption,2.0,52.381,-174.166,4
1976-02-15,Fukutoku-Oka-no-Ba,18467,Eruption,1.0,24.285,141.481,3
1976-02-22,Mayon,16814,Eruption,1.0,13.257,123.685,3
1976-03-02,Galeras,11378,Eruption,2.0,1.22,-77.37,3
1976-03-02,Galeras,11378,Eruption,2.0,1.22,-77.37,1
1976-03-27,Popocatepetl,10556,Eruption,2.0,19.023,-98.62200000000001,3
1976-03-28,Fernandina,11676,Eruption,2.0,-0.37,-91.55,3
1976-04-05,Fukutoku-Oka-no-Ba,17602,Eruption,0.0,24.285,141.481,4
1976-04-12,Etna,13847,Eruption,1.0,37.748000000000005,14.999,3
1976-04-29,Ulawun,15072,Eruption,2.0,-5.05,151.33,3
1976-05-02,Miyakejima,18275,Eruption,1.0,34.094,139.526,3
1976-05-04,Etna,13821,Eruption,3.0,37.748000000000005,14.999,4
1976-05-21,Galeras,11377,Eruption,3.0,1.22,-77.37,3
1976-05-22,Kikai,17003,Eruption,2.0,30.793000000000003,130.305,3
1976-05-24,Masaya,11031,Eruption,1.0,11.985,-86.165,4
1976-06-01,Asosan,17349,Eruption,1.0,32.884,131.10399999999998,3
1976-06-18,Nyamuragira,14083,Eruption,2.0,-1.4080000000000001,29.2,3
1976-06-25,Karangetang,16541,Eruption,1.0,2.781,125.40700000000001,3
1976-07-11,Gamalama,16669,Eruption,2.0,0.8,127.33,4
1976-07-14,Miyakejima,18277,Eruption,1.0,34.094,139.526,3
1976-07-17,Raoul Island,14702,Eruption,1.0,-29.27,-177.92,3
1976-07-28,Myojinsho,18323,Eruption,2.0,31.888,139.918,6
1976-08-04,Ubinas,11791,Eruption,2.0,-16.355,-70.903,3
1976-08-16,Dempo,15571,Eruption,2.0,-4.016,103.12100000000001,5
1976-08-17,Etorofu-Yakeyama [Grozny Group],18753,Eruption,2.0,45.012,147.871,5
1976-08-18,Krakatau,15626,Eruption,2.0,-6.102,105.42299999999999,3
1976-08-29,Kelut,15958,Eruption,2.0,-7.93,112.30799999999999,3
1976-08-29,Kelut,15958,Eruption,2.0,-7.93,112.30799999999999,1
1976-09-06,Tinakula,15209,Eruption,2.0,-10.386,165.804,3
1976-09-14,Alcedo,11696,Eruption,1.0,-0.43,-91.12,4
1976-09-22,Soputan,16437,Eruption,2.0,1.112,124.73700000000001,3
1976-10-22,Veniaminof,20175,Eruption,2.0,56.17,-159.38,3
1976-11-05,Lopevi,15310,Eruption,2.0,-16.507,168.34599999999998,5
1976-11-07,Etna,13826,Eruption,1.0,37.748000000000005,14.999,4
1976-11-24,Ruapehu,14668,Eruption,1.0,-39.28,175.57,3
1976-11-27,Korovin,19768,Eruption,1.0,52.381,-174.166,3
1976-12-08,Rabaul,15100,Eruption,4.0,-4.271,152.203,3
1976-12-20,Bogoslof,22182,Eruption,3.0,53.93,-168.03,3
1977-01-01,Bristol Island,22133,Eruption,1.0,-59.016999999999996,-26.533,3
1977-01-17,Chikurachki,22127,Eruption,2.0,50.324,155.461,3
1977-03-19,Kerinci,15522,Eruption,1.0,-1.6969999999999998,101.264,3
1977-03-19,Kerinci,15522,Eruption,1.0,-1.6969999999999998,101.264,1
1977-03-23,Kilauea,10111,Eruption,0.0,19.421,-155.287,5
1977-03-23,Kilauea,10111,Eruption,0.0,19.421,-155.287,1
1977-04-09,Tongariro,14599,Eruption,2.0,-39.157,175.632,7
1977-04-20,Arenal,11134,Eruption,3.0,10.463,-84.70299999999999,7
1977-04-21,Slamet,13401,Eruption,2.0,-7.242000000000001,109.208,10
1977-04-22,Turrialba,20998,Eruption,2.0,10.025,-83.76700000000001,3
1977-05-10,Ritter Island,14974,Eruption,1.0,-5.519,148.115,5
1977-05-20,Ambrym,15280,Eruption,2.0,-16.25,168.12,4
1977-06-09,Ebeko,22176,Eruption,2.0,50.68600000000001,156.014,3
1977-06-09,Ebeko,22176,Eruption,2.0,50.68600000000001,156.014,1
1977-06-12,Gamalama,22150,Eruption,1.0,0.8,127.33,3
1977-06-28,Alaid,18887,Eruption,4.0,50.861000000000004,155.565,4
1977-07-10,Telica,10926,Eruption,1.0,12.606,-86.84,10
1977-08-03,Purace,11339,Eruption,2.0,2.32,-76.4,4
1977-08-19,Redoubt,20388,Eruption,3.0,60.485,-152.74200000000002,9
1977-08-20,Poas,11172,Eruption,1.0,10.2,-84.23299999999999,6
1977-08-21,Southern Thule,13201,Eruption,1.0,-59.442,-27.225,5
1977-08-25,Ambrym,15281,Eruption,2.0,-16.25,168.12,4
1977-10-16,Kanlaon,16737,Eruption,1.0,10.412,123.132,4
1977-10-16,Kanlaon,16737,Eruption,1.0,10.412,123.132,1
1977-11-23,Taal,16855,Eruption,1.0,14.002,120.993,8
1977-11-24,Kavachi,15161,Eruption,0.0,-8.991,157.97899999999998,5
1977-11-27,Klyuchevskoy,19468,Eruption,4.0,56.056000000000004,160.642,4
1977-11-28,CoAxial Segment,20711,Eruption,0.0,46.52,-129.58,4
1977-12-21,Karangetang,16532,Eruption,1.0,2.781,125.40700000000001,4
1978-01-09,Chirpoi,18785,Eruption,2.0,46.532,150.871,4
1978-01-12,Kanaga,20774,Eruption,2.0,51.923,-177.168,3
1978-01-14,Akutan,20029,Eruption,2.0,54.13399999999999,-165.986,4
1978-01-20,Barren Island,20918,Eruption,2.0,12.277999999999999,93.85799999999999,3
1978-01-24,Iliwerung,20912,Eruption,0.0,-8.53,123.57,3
1978-01-29,Tangkuban Parahu,20987,Eruption,1.0,-6.77,107.6,3
1978-02-21,Soputan,20821,Eruption,3.0,1.112,124.73700000000001,3
1978-02-22,Grimsvotn,20767,Eruption,4.0,64.416,-17.316,3
1978-02-22,Grimsvotn,20767,Eruption,4.0,64.416,-17.316,1
1978-03-08,Fernandina,11667,Eruption,0.0,-0.37,-91.55,5
