Year,Month,Day,Volcano Name,ID,Type,VEI,Latitude,Longitude
1968,7,28,Izu-Oshima,18236,Eruptions,1.0,34.724000000000004,139.394
1968,7,29,Arenal,11134,Eruptions,3.0,10.463,-84.70299999999999
1968,8,18,Tongariro,14599,Eruptions,2.0,-39.157,175.632
1968,10,23,"Negro, Cerro",10962,Eruptions,3.0,12.505999999999998,-86.70200000000001
1968,9,16,Talang,15492,Eruptions,2.0,-0.9790000000000001,100.681
1968,9,16,Fukujin,18094,Eruptions,0.0,21.93,143.47
1968,10,7,Kilauea,10103,Eruptions,0.0,19.421,-155.287
1968,11,13,Trident,20092,Eruptions,3.0,58.236000000000004,-155.1
1968,11,28,Lewotobi,16294,Eruptions,2.0,-8.542,122.775
1968,12,21,Kuchinoerabujima,16974,Eruptions,3.0,30.443,130.217
1968,7,2,Tolbachik,19319,Eruptions,1.0,55.832,160.326
1968,8,22,Kilauea,10102,Eruptions,0.0,19.421,-155.287
1968,7,2,Gaua,15222,Eruptions,2.0,-14.27,167.5
1968,5,21,Fernandina,11665,Eruptions,2.0,-0.37,-91.55
1968,7,2,Tupungatito,14112,Eruptions,2.0,-33.425,-69.797
1968,1,14,Talang,15491,Eruptions,1.0,-0.9790000000000001,100.681
1968,1,19,Izu-Oshima,18235,Eruptions,1.0,34.724000000000004,139.394
1968,1,23,Batur,16197,Eruptions,2.0,-8.242,115.375
1968,1,27,White Island,14481,Eruptions,3.0,-37.52,177.18
1968,1,31,Taal,16856,Eruptions,2.0,14.002,120.993
1968,2,3,Kerinci,15518,Eruptions,2.0,-1.6969999999999998,101.264
1968,2,16,Etorofu-Yakeyama [Grozny Group],18750,Eruptions,1.0,45.012,147.871
1968,7,2,Poas,11170,Eruptions,1.0,10.2,-84.23299999999999
1968,4,6,Ruapehu,14635,Eruptions,2.0,-39.28,175.57
1968,4,21,Mayon,16803,Eruptions,3.0,13.257,123.685
1968,5,7,Nila,16382,Eruptions,1.0,-6.73,129.5
1968,1,7,Etna,13797,Eruptions,0.0,37.748000000000005,14.999
1968,5,23,Kverkfjoll,12903,Eruptions,0.0,64.653,-16.647000000000002
1968,6,3,Kelimutu,16263,Eruptions,1.0,-8.77,121.82
1968,6,11,Fernandina,11666,Eruptions,4.0,-0.37,-91.55
1968,3,16,Long Island,14962,Eruptions,2.0,-5.358,147.12
1969,7,2,Kerinci,15519,Eruptions,2.0,-1.6969999999999998,101.264
1969,7,20,Tangkuban Parahu,15682,Eruptions,1.0,-6.77,107.6
1969,8,16,White Island,14482,Eruptions,2.0,-37.52,177.18
1969,9,11,Kiska,19665,Eruptions,2.0,52.103,177.602
1969,9,16,Klyuchevskoy,19455,Eruptions,2.0,56.056000000000004,160.642
1969,9,20,Rincon de la Vieja,11078,Eruptions,2.0,10.83,-85.324
1969,9,22,Gaua,15223,Eruptions,2.0,-14.27,167.5
1969,10,29,Taal,16857,Eruptions,2.0,14.002,120.993
1969,10,10,Kanlaon,16732,Eruptions,2.0,10.412,123.132
1969,10,28,Kavachi,15160,Eruptions,2.0,-8.991,157.97899999999998
1969,11,27,Lokon-Empung,16452,Eruptions,2.0,1.358,124.792
1969,12,1,Ioto,18411,Eruptions,1.0,24.750999999999998,141.289
1969,12,19,"Negro, Cerro",10963,Eruptions,1.0,12.505999999999998,-86.70200000000001
1969,6,23,Slamet,13403,Eruptions,2.0,-7.242000000000001,109.208
1969,9,29,Langila,14994,Eruptions,2.0,-5.525,148.42
1969,6,22,Ruapehu,14636,Eruptions,2.0,-39.28,175.57
1969,6,16,Ubinas,11790,Eruptions,2.0,-16.355,-70.903
1969,5,24,Kilauea,10105,Eruptions,0.0,19.421,-155.287
1969,1,19,Izu-Oshima,18237,Eruptions,1.0,34.724000000000004,139.394
1969,1,21,Tongariro,14600,Eruptions,2.0,-39.157,175.632
1969,1,27,Iya,16259,Eruptions,3.0,-8.897,121.645
